,Precision,Recall,F1,Mean Latency,FP Rate (per 1k),ROC AUC,PR AUC,PR Baseline
Fixed EMA (0.06),0.03904619970193741,0.27348643006263046,0.0683359415753782,13.0,65.36769327467002,0.8351876309087428,0.03159939070169681,0.00958
Load Adaptive EMA,0.03262463343108504,0.18580375782881003,0.055503585905830995,12.2,53.5066198982178,0.7592423694142234,0.02302508149640278,0.00958
Load Adaptive EMA (BW-Matched),0.026389186869770435,0.2567849686847599,0.04785992217898832,13.0,92.00948885870116,0.7965614591031385,0.02393570338134192,0.00958
KAMA,0.03076923076923077,0.16701461377870563,0.05196492367651835,11.2,51.09385454471726,0.7889055714811736,0.025942659882016692,0.00958
Butterworth (Default),0.030799942963068587,0.4509394572025052,0.057661505605979706,2.6,137.81147989700128,0.8301047219148352,0.02840896532708588,0.00958
Butterworth (Matched),0.02969631819403386,0.4613778705636743,0.0558010352228254,2.6,146.408223677541,0.8284879858456969,0.028002005160487196,0.00958
