,Precision,Recall,F1,Mean Latency,FP Rate (per 1k),ROC AUC,PR AUC,PR Baseline
RRCF Baseline,0.032,0.0761904761904762,0.04507042253521127,0.0,29.530201342281877,0.692850105400441,0.021963627395197673,0.0126
Fixed EMA (0.06),0.020864381520119227,0.1111111111111111,0.03513174404015057,0.0,66.80902989627822,0.5964240842428762,0.017307870245585184,0.0126
Load Adaptive EMA,0.015395894428152493,0.06666666666666667,0.02501488981536629,0.0,54.62680496237543,0.5639185721064915,0.014403909582412305,0.0126
Load Adaptive EMA (BW-Matched),0.014374597725809912,0.10634920634920635,0.025326025326025323,0.0,93.4309538336384,0.560922407197575,0.014679794161306754,0.0126
KAMA,0.01769230769230769,0.07301587301587302,0.02848297213622291,0.0,51.94224120398617,0.5893453066943,0.01568783529191175,0.0126
Butterworth (Default),0.01611293312419792,0.17936507936507937,0.029569540756247546,0.0,140.3294691885296,0.5963101129544084,0.01572150872711102,0.0126
Butterworth (Matched),0.014243482934694974,0.16825396825396827,0.02626362735381566,0.2,149.19666463290622,0.5924167368798242,0.015243360444704885,0.0126
