,Precision,Recall,F1,Mean Latency,FP Rate (per 1k),ROC AUC,PR AUC,PR Baseline
Fixed EMA (0.06),0.0062593144560357675,1.0,0.012440758293838864,0.0,66.95451350537203,0.9975399136459484,0.015873015873015872,0.0001
Load Adaptive EMA,0.005131964809384164,1.0,0.010211524434719182,0.0,54.50346420323326,0.9975298724771564,0.013888888888888888,0.0001
KAMA,0.016923076923076923,1.0,0.03328290468986385,0.0,51.330454864946276,0.9975298724771564,0.013888888888888888,0.0001
Butterworth (Default),0.0038461538461538464,1.0,0.007662835249042146,0.0,140.43578672557484,0.9954935234461291,0.007940452522957494,0.0001
Butterworth (Matched),0.0036496350364963502,1.0,0.007272727272727273,0.0,148.0269103323627,0.9954935234461291,0.007940452522957494,0.0001
