,Precision,Recall,F1,Mean Latency,FP Rate (per 1k),ROC AUC,PR AUC,PR Baseline
Fixed EMA (0.06),0.0661698956780924,0.1992818671454219,0.09935108525397181,4.333333333333333,64.88423145425175,0.7557025200906835,0.05296981803604464,0.02228
Load Adaptive EMA,0.0531524926686217,0.13016157989228008,0.07548152004164498,4.066666666666666,53.4937663090751,0.701849434522059,0.04114957955727225,0.02228
KAMA,0.06538461538461539,0.1526032315978456,0.09154550350026926,3.7333333333333334,50.32514600505322,0.760676232600028,0.0527398077590883,0.02228
Butterworth (Default),0.05071225071225071,0.31956912028725315,0.08753380870420457,0.8666666666666667,138.01101768628587,0.7637179348274283,0.04723172163552994,0.02228
Butterworth (Matched),0.047850770478507706,0.3177737881508079,0.08317669172932331,0.9333333333333333,145.88079360477158,0.759280505569337,0.04611674063955516,0.02228
