config,max_stable_lambda_events_per_sec,rho_at_empirical_lambda,mu_raw_events_per_sec,mu_eff_events_per_sec
Fixed EMA + Shedding,508533.1593555883,1.630147523124348e-05,295909.9490088233,531447.4658922832
Load-Adaptive EMA + Shedding,508533.1593555883,1.6316509473400822e-05,295637.29376736877,530957.7833465675
Fixed EMA,288744.3547727266,2.926074127155543e-05,296075.1274736809,296075.1274736809
KAMA,288744.3547727266,2.9297235318875206e-05,295706.32203539874,295706.32203539874
Butterworth,288744.3547727266,2.9396900544944423e-05,294703.7796962601,294703.7796962601
Load-Adaptive EMA,288744.3547727266,2.928783165630795e-05,295801.26666988235,295801.26666988235
Load-Adaptive EMA (Bandwidth-Matched),288744.3547727266,2.92877957015039e-05,295801.6298066882,295801.6298066882
